4330102;2014-03-09T14:32:45+01:00;Rotatif;CB;4.5;1.25;2014-03-09T14:32:45+01:00;2014-03-09T15:47:45+01:00
4330102;2014-09-09T17:00:53+02:00;Rotatif;CB;4.5;1.25;2014-09-09T17:00:53+02:00;2014-09-09T18:15:53+02:00
4330102;2014-08-09T13:18:19+02:00;Rotatif;Paris Carte;3.55;0.99;2014-08-09T13:18:19+02:00;2014-08-09T14:18:19+02:00
4330105;2014-01-09T01:48:14+01:00;Résident;CB;3.25;50.0;2014-01-09T01:48:14+01:00;2014-05-09T21:00:00+02:00
4330105;2014-07-09T13:35:21+02:00;Résident;Paris Carte;0.65;10.0;2014-07-09T13:35:21+02:00;2014-08-09T21:00:00+02:00
4330105;2014-09-09T11:17:42+02:00;Résident;Paris Carte;0.65;10.0;2014-09-09T11:17:42+02:00;2014-10-09T11:17:42+02:00
4330105;2014-05-09T08:52:13+02:00;Résident;Paris Carte;3.25;50.0;2014-05-09T08:52:13+02:00;2014-11-09T20:00:00+01:00
4330105;2014-01-09T08:14:43+01:00;Rotatif;CB;3.6;1.0;2014-01-09T08:14:43+01:00;2014-01-09T11:00:00+01:00
4330105;2014-05-09T15:08:52+02:00;Rotatif;CB;3.6;1.0;2014-05-09T15:08:52+02:00;2014-05-09T16:08:52+02:00
4330105;2014-05-09T15:07:44+02:00;Rotatif;CB;4.5;1.25;2014-05-09T15:07:44+02:00;2014-05-09T16:22:44+02:00
4330105;2014-10-09T18:11:50+02:00;Rotatif;CB;6.3;1.75;2014-10-09T18:11:50+02:00;2014-10-09T19:56:50+02:00
4330105;2014-04-09T10:33:35+02:00;Rotatif;Paris Carte;0.9;0.25;2014-04-09T10:33:35+02:00;2014-04-09T11:15:00+02:00
4330105;2014-08-09T11:06:11+02:00;Rotatif;Paris Carte;0.9;0.25;2014-08-09T11:06:11+02:00;2014-08-09T11:21:11+02:00
4330105;2014-03-09T12:30:28+01:00;Rotatif;Paris Carte;2.7;0.75;2014-03-09T12:30:28+01:00;2014-03-09T13:15:28+01:00
4330105;2014-03-09T12:38:09+01:00;Rotatif;Paris Carte;3.6;1.0;2014-03-09T12:38:09+01:00;2014-03-09T13:38:09+01:00
4330105;2014-05-09T15:22:13+02:00;Rotatif;Paris Carte;4.5;1.25;2014-05-09T15:22:13+02:00;2014-05-09T16:37:13+02:00
4350101;2014-01-09T21:20:54+01:00;Résident;CB;3.25;50.0;2014-01-09T21:20:54+01:00;2014-08-09T21:00:00+02:00
4350101;2014-05-09T12:10:28+02:00;Rotatif;CB;2.4;1.0;2014-05-09T12:10:28+02:00;2014-05-09T13:10:28+02:00
4350101;2014-01-09T11:16:00+01:00;Rotatif;CB;4.2;1.75;2014-01-09T11:16:00+01:00;2014-01-09T13:01:00+01:00
4350101;2014-03-09T10:41:14+01:00;Rotatif;CB;4.8;2.0;2014-03-09T10:41:14+01:00;2014-03-09T12:41:14+01:00
4350101;2014-03-09T14:30:29+01:00;Rotatif;CB;4.8;2.0;2014-03-09T14:30:29+01:00;2014-03-09T16:30:29+01:00
4350101;2014-04-09T11:18:08+02:00;Rotatif;CB;4.8;2.0;2014-04-09T11:18:08+02:00;2014-04-09T13:18:08+02:00
4350101;2014-04-09T17:31:24+02:00;Rotatif;Paris Carte;0.6;0.25;2014-04-09T17:31:24+02:00;2014-04-09T17:46:24+02:00
4350101;2014-08-09T19:00:30+02:00;Rotatif;Paris Carte;3.0;1.25;2014-08-09T19:00:30+02:00;2014-08-09T20:15:30+02:00
4710101;2014-03-09T10:29:26+01:00;Rotatif;CB;3.6;1.0;2014-03-09T10:29:26+01:00;2014-03-09T11:29:26+01:00
4710101;2014-03-09T11:08:06+01:00;Rotatif;CB;3.6;1.0;2014-03-09T11:08:06+01:00;2014-03-09T12:08:06+01:00
4710101;2014-01-09T10:45:19+01:00;Rotatif;CB;4.5;1.25;2014-01-09T10:45:19+01:00;2014-01-09T12:00:19+01:00
4710101;2014-02-09T08:12:53+01:00;Rotatif;Paris Carte;1.8;1.0;2014-02-09T08:12:53+01:00;2014-02-09T11:00:00+01:00
4710203;2014-01-09T21:34:25+01:00;Résident;CB;3.25;50.0;2014-01-09T21:34:25+01:00;2014-08-09T21:00:00+02:00
4710203;2014-09-09T18:55:13+02:00;Rotatif;CB;5.4;1.5;2014-09-09T18:55:13+02:00;2014-09-09T20:25:13+02:00
4710203;2014-08-09T07:16:25+02:00;Rotatif;CB;7.2;2.0;2014-08-09T07:16:25+02:00;2014-08-09T13:00:00+02:00
4710203;2014-08-09T16:26:04+02:00;Rotatif;Paris Carte;0.9;0.25;2014-08-09T16:26:04+02:00;2014-08-09T16:41:04+02:00
4710301;2014-01-09T20:47:16+01:00;Résident;CB;3.25;50.0;2014-01-09T20:47:16+01:00;2014-08-09T21:00:00+02:00
4710301;2014-04-09T13:15:25+02:00;Rotatif;CB;2.7;0.75;2014-04-09T13:15:25+02:00;2014-04-09T14:00:25+02:00
4710301;2014-02-09T11:42:06+01:00;Rotatif;CB;3.6;1.0;2014-02-09T11:42:06+01:00;2014-02-09T12:42:06+01:00
4710301;2014-08-09T17:54:47+02:00;Rotatif;CB;3.6;1.0;2014-08-09T17:54:47+02:00;2014-08-09T18:54:47+02:00
4710301;2014-08-09T19:19:27+02:00;Rotatif;Paris Carte;0.9;0.25;2014-08-09T19:19:27+02:00;2014-08-09T19:34:27+02:00
4710301;2014-05-09T17:51:55+02:00;Rotatif;Paris Carte;5.4;1.5;2014-05-09T17:51:55+02:00;2014-05-09T19:21:55+02:00
4710301;2014-04-09T14:05:57+02:00;Rotatif;Paris Carte;7.2;2.0;2014-04-09T14:05:57+02:00;2014-04-09T16:05:57+02:00
4730202;2014-08-09T10:48:40+02:00;Résident;CB;3.25;50.0;2014-08-09T10:48:40+02:00;2014-12-09T20:00:00+01:00
4730202;2014-09-09T18:22:09+02:00;Résident;Paris Carte;0.65;10.0;2014-09-09T18:22:09+02:00;2014-10-09T18:22:09+02:00
4730202;2014-04-09T11:04:40+02:00;Rotatif;CB;1.8;0.5;2014-04-09T11:04:40+02:00;2014-04-09T11:34:40+02:00
